,WAREHOUSE_IDENTIFIER,Dateid,SHIPMENT_NUMBER,ORDER_NUMBER,CUSTOMER_NUMBER,VENDOR_IDENTIFIER,COMPANY_IDENTIFIER,ITEM_NUMBER,Profit,AVERAGE_COST_PRICE,SALES_AMOUNT,INVOICE_AMOUNT,COST_PRICE
17,10634857,18,20200718,5432495,2142,98858425,98832975,6265748,0.0,0.0,0.0,0.0,0.0
18,10634859,19,20181012,1630931,185,98858425,98832975,703744,0.0,0.0,79.83,79.83,79.83
19,10634857,20,20191206,5267415,2312,98858425,98832975,947473,0.0,0.0,26.6,26.6,26.6
20,10634859,21,20200528,1899362,2144,98858425,98832975,947473,0.0,0.0,0.0,0.0,0.0
21,10634856,22,20191202,6468572,387,98858425,98832975,2473791,0.0,0.0,17.82,17.82,17.82
22,10634858,23,20200717,3264817,2438,98858425,98832975,911156,0.0,0.0,0.0,0.0,0.0
23,10634859,24,20200318,1862976,2305,98858425,98832975,573410,0.0,0.0,0.0,0.0,0.0
24,10634857,25,20190222,5938847,1984,98858425,98832971,841296,0.0,0.0,25.09,25.09,25.09
25,10634859,26,20200416,1878031,1775,98858425,98832975,947465,0.0,0.0,32.28,32.28,32.28
26,10634859,27,20201119,1982570,185,98858425,98832975,680264,0.0,0.0,0.0,0.0,0.0
27,10634857,28,20200419,5359392,10810,98858425,98832971,496877,0.0,0.0,0.0,0.0,0.0
28,10634859,29,20200406,1872857,1775,98858425,98832975,496877,0.0,0.0,0.0,0.0,0.0
29,10634858,30,20200304,3164151,2073,98858425,98832975,467936,0.0,0.0,39.92,39.92,39.92
30,10634858,31,20200506,3212256,1693,98858425,98832975,668954,0.0,0.0,0.0,0.0,0.0
31,10634859,32,20200712,1920141,462,98858425,98832971,2415453,0.0,0.0,0.0,0.0,0.0
32,10634856,33,20180219,6872968,1934,98858425,98832975,2448751,0.0,0.0,28.44,28.44,28.44
33,10634856,34,20180725,6427228,387,98858425,98832975,414110,0.0,0.0,50.46,50.46,50.46
34,10634856,35,20200409,6683240,387,98858425,98832975,171959,0.0,0.0,42.16,42.16,42.16
35,10634858,36,20200626,3250497,2438,98858425,98832975,2415453,0.0,0.0,0.0,0.0,0.0
36,10634856,37,20180424,6241186,10768,98858425,98832971,755017,0.0,0.0,65.52,65.52,65.52
37,10634859,38,20200820,1937736,1869,98858425,98832975,6291926,0.0,0.0,0.0,0.0,0.0
38,10634856,39,20180406,6207974,387,98858425,98832975,503789,0.0,0.0,33.6,33.6,33.6
39,10634859,40,20200206,1845630,271,98858425,98832975,2472611,29.08,0.0,58.16,29.08,29.08
40,10634858,41,20190222,3748865,1840,98858425,98832975,911156,0.0,0.0,60.15,60.15,60.15
41,10634858,42,20200323,3175558,2486,98858425,98832975,733550,0.0,0.0,0.0,0.0,0.0
42,10634857,43,20191028,5240324,1954,98858425,98832975,414110,0.0,0.0,52.56,52.56,52.56
43,10634858,44,20201013,3329451,10937,98858425,98832971,947465,0.0,0.0,0.0,0.0,0.0
44,10634858,45,20181107,3681881,322,98858425,98832975,503789,0.0,0.0,33.6,33.6,33.6
45,10634857,46,20200608,5399139,2214,98858425,98832975,735993,0.0,0.0,28.44,28.44,28.44
46,10634858,47,20200702,3252639,1709,98858425,98832975,947473,0.0,0.0,0.0,0.0,0.0
47,10634858,48,20181123,3693689,2205,98858425,98832971,921742,0.0,0.0,31.92,31.92,31.92
48,10634858,49,20200806,3278095,1974,98858425,98832975,947465,32.28,0.0,64.56,32.28,32.28
49,10634859,50,20171201,1481853,185,98858425,98832975,703744,0.0,0.0,80.52,80.52,80.52
50,10634857,51,20191125,5259363,10453,98858425,98832971,841296,0.0,0.0,0.0,0.0,0.0
51,10634857,52,20181105,5866602,168,98858428,98832975,275347,0.0,0.0,0.0,0.0,0.0
52,10634856,53,20190803,6247413,387,98858428,98832975,2478758,18.44,0.0,36.88,18.44,18.44
53,10634858,54,20180807,3617480,208,98858428,98832975,274423,265.35,0.0,274.5,9.15,9.15
54,10634857,55,20191025,5237440,2620,98858428,98832975,593400,0.0,0.0,8.67,8.67,8.67
55,10634856,56,20180603,6329221,387,98858428,98832975,962829,19.49,0.0,38.98,19.49,19.49
56,10634857,57,20191229,5279386,646,98858428,98832975,2483493,31.47,0.0,41.96,10.49,10.49
57,10634859,58,20200106,1831685A,2059,98858428,98832975,592881,0.0,0.0,8.23,8.23,8.23
58,10634859,59,20180523,1562323,2754,98858428,98832975,274423,151.09,0.0,156.3,5.21,5.21
59,10634857,60,20200810,5448254,2620,98858428,98832975,632620,0.0,0.0,17.52,17.52,17.52
60,10634856,61,20200408,6684921,387,98858428,98832975,298448,19.19,0.0,38.38,19.19,19.19
61,10634856,62,20190522,6111655,2486,98858428,98832975,467258,0.0,0.0,19.0,19.0,19.0
62,10634858,63,20180818,3626322,2014,98858428,98832975,274423,0.0,0.0,0.0,0.0,0.0
63,10634857,64,20181126,5882364,2789,98858428,98832975,2489425,0.0,0.0,17.56,17.56,17.56
64,10634856,65,20191223,6503891,2059,98858428,98832975,219311,0.0,0.0,15.16,15.16,15.16
65,10634856,66,20180418,6228640,10613,98858428,98832971,962779,0.0,0.0,18.67,18.67,18.67
66,10634856,67,20200401,6673419,387,98858428,98832975,2489433,0.0,0.0,0.0,0.0,0.0
67,10634858,68,20180309,3518345,1811,98858428,98832975,203570,0.0,0.0,4.02,4.02,4.02
68,10634857,69,20200723,5435339,985,98858428,98832975,632596,0.0,0.0,19.04,19.04,19.04
69,10634857,70,20200319,5333263,2620,98858428,98832975,592881,0.0,0.0,8.83,8.83,8.83
70,10634856,71,20190706,6196114,387,98858428,98832975,2489474,0.0,0.0,0.0,0.0,0.0
71,10634857,72,20171101,5641357,3912,98858428,98832975,300046,0.0,0.0,22.38,22.38,22.38
72,10634857,73,20191208,5268119,766,98858428,98832971,720326,11.07,0.0,22.14,11.07,11.07
73,10634858,74,20200430,3207336,110,98858428,98832975,590588,0.0,0.0,10.03,10.03,10.03
74,10634856,75,20181130,6672243,6868,98858428,98832975,593400,893.5500000000001,0.0,901.6,8.05,8.05
75,10634855,76,20200915,6889186,2645,98858440,98832975,5134168,0.0,0.0,0.0,0.0,0.0
76,10634855,77,20191128,6460004,75496,98858440,98832975,5108881,0.0,0.0,60.54,60.54,60.54
77,10634855,78,20180918,6532171,2645,98858441,98832975,4443453,0.0,0.0,29.0,29.0,29.0
78,10634855,79,20190212,6791561,2438,98858441,98832975,4442331,10.399999999999999,0.0,11.7,1.3,1.3
79,10634855,80,20190205,6780731,2061,98858441,98832975,4443693,10.420000000000002,0.0,15.63,5.21,5.21
80,10634855,81,20200207,6578464,2312,98858441,98832975,4442794,1.32,0.0,2.64,1.32,1.32
81,10634855,82,20190416,6922657,1934,98858441,98832975,4441945,0.0,0.0,6.23,6.23,6.23
82,10634855,83,20200102,6515106,5650,98858441,98832975,4442059,0.0,0.0,19.94,19.94,19.94
83,10634855,84,20190902,6296601,2300,98858441,98832975,4446290,93.72,0.0,124.96,31.24,31.24
84,10634855,85,20200131,6546904,2312,98858447,98832975,793414,0.0,0.0,4.59,4.59,4.59
85,10634855,86,20190419,6928764,1869,98858447,98832975,793414,0.0,0.0,4.59,4.59,4.59
86,10634855,87,20190319,6863681,2486,98858452,98832975,5233408,78.16,0.0,117.24,39.08,39.08
87,10634855,88,20200519,6740133,2645,98858452,98832975,5253034,6.6,0.0,8.25,1.65,1.65
88,10634855,89,20181025,6594438,2020,98858452,98832975,5251764,84.44,0.0,126.66,42.22,42.22
89,10634855,90,20201027,6943737,208,98858452,98832975,5233408,0.0,0.0,0.0,0.0,0.0
90,10634858,91,20190924,3886343,6764,98858463,98832971,2464055,0.0,27.34,34.95,34.95,34.95
91,10634856,92,20190915,6323613,10769,98858463,98832972,2464055,0.0,22.6,31.0,31.0,31.0
92,10634855,93,20200123,6553177,1891,98858472,98832975,6072250,0.0,0.0,4.25,4.25,4.25
93,10634855,94,20190626,9823863,1691,98858472,98832975,6069538,104.0,0.0,130.0,26.0,26.0
94,10634855,95,20191024,6385217,1693,98858472,98832975,6051544,0.0,0.0,0.0,0.0,0.0
95,10634856,96,20190626,6180182,387,98858473,98832975,206680,0.0,0.0,16.32,16.32,16.32
96,10634856,97,20180603,6328679,387,98858478,98832975,549402,0.0,0.0,20.97,20.97,20.97
97,10634858,98,20190424,3786305,2438,98858480,98832975,371997,0.0,0.0,20.75,20.75,20.75
98,10634856,99,20191211,6484963,387,98858484,98832975,721589,0.0,0.0,24.81,24.81,24.81
99,10634858,100,20190117,3727499,1691,98858484,98832975,935486,0.0,0.0,17.76,17.76,17.76
100,10634856,101,20180405,6204851,387,98858484,98832975,485631,27.76,0.0,55.52,27.76,27.76
101,10634858,102,20180629,3594733,2438,98858484,98832975,251512,0.0,0.0,67.51,67.51,67.51
102,10634856,103,20180829,6493121,387,98858484,98832975,190959,0.0,0.0,26.61,26.61,26.61
103,10634857,104,20200401,5345257,2142,98858484,98832975,230508,0.0,0.0,38.41,38.41,38.41
104,10634856,105,20181107,6627719,387,98858484,98832975,104539,0.0,0.0,103.01,103.01,103.01
105,10634857,106,20190508,5126267,389,98858484,98832975,766964,0.0,0.0,0.0,0.0,0.0
106,10634858,107,20171217,3467353,804,98858484,98832975,472381,0.0,0.0,17.71,17.71,17.71
107,10634857,108,20200201,5300086,3911,98858484,98832975,354688,0.0,0.0,23.01,23.01,23.01
108,10634859,109,20180710,1585943,2806,98858484,98832975,689281,0.0,0.0,70.51,70.51,70.51
109,10634858,110,20181212,3707002,2312,98858484,98832975,472381,0.0,0.0,17.76,17.76,17.76
110,10634857,111,20181214,5895816,387,98858484,98832975,771956,22.11,0.0,44.22,22.11,22.11
111,10634858,112,20200305,3164203,2486,98858484,98832975,452748,0.0,0.0,31.47,31.47,31.47
112,10634855,113,20200610,6768626,75416,98858488,98832975,5175088,0.0,0.0,96.69,96.69,96.69
113,10634857,114,20200430,5369454,985,98858492,98832975,178277,166.12,0.0,207.65,41.53,41.53
114,10634857,115,20190221,5938022,15300,98858492,98832971,355644,0.0,0.0,42.05,42.05,42.05
115,10634857,116,20180302,5703921,2620,98858492,98832975,820407,0.0,0.0,46.8,46.8,46.8
116,10634857,117,20180927,5838632,2142,98858492,98832975,357301,0.0,0.0,42.15,42.15,42.15
117,10634857,118,20190819,5192499,1560,98858492,98832975,547471,46.2,0.0,92.4,46.2,46.2
118,10634857,119,20190415,5110210,2645,98858492,98832975,2413003,0.0,0.0,54.3,54.3,54.3
119,10634857,120,20200321,5336234,2312,98858492,98832975,355685,166.8,0.0,208.5,41.7,41.7
120,10634857,121,20190201,5925204,2214,98858492,98832975,355644,0.0,0.0,40.05,40.05,40.05
121,10634857,122,20190222,5937961,2620,98858492,98832975,178277,195.65,0.0,234.78,39.13,39.13
122,10634857,123,20190116,5913747,2786,98858492,98832975,178277,430.43,0.0,469.56,39.13,39.13
123,10634857,124,20190416,5111328,2620,98858492,98832975,861575,0.0,0.0,33.84,33.84,33.84
124,10634857,125,20181124,5881663,387,98858492,98832975,648394,62.25,0.0,124.5,62.25,62.25
125,10634857,126,20180112,5676963,2214,98858492,98832975,861575,0.0,0.0,33.24,33.24,33.24
126,10634857,127,20190627,5159360,2142,98858492,98832975,985267,48.15,0.0,96.3,48.15,48.15
127,10634857,128,20200618,5408243,1934,98858492,98832975,355685,375.3,0.0,417.0,41.7,41.7
128,10634856,129,20180722,6421460,387,98858496,98832975,702035,0.0,0.0,10.8,10.8,10.8
129,10634856,130,20200102,6516747,1709,98858496,98832975,225128,0.0,0.0,0.0,0.0,0.0
130,10634856,131,20180530,6320635,1693,98858496,98832975,805200,0.0,0.0,24.78,24.78,24.78
131,10634856,132,20180709,6387866,1811,98858496,98832975,102392,15.6,0.0,31.2,15.6,15.6
132,10634855,133,20180209,6857688,1661,98858511,98832975,5123021,0.0,0.0,26.2,26.2,26.2
133,10634859,134,20181022,1635689,1775,98858514,98832975,674929,0.0,0.0,21.34,21.34,21.34
134,10634858,135,20190527,3808743,2014,98858514,98832975,674929,0.0,0.0,26.39,26.39,26.39
135,10634857,136,20200818,5455115,985,98858514,98832975,674929,0.0,0.0,26.39,26.39,26.39
136,10634857,137,20180606,5763050,1360,98858514,98832975,674952,24.61,0.0,49.22,24.61,24.61
137,10634858,138,20190924,3885125,2020,98858514,98832975,674952,0.0,0.0,26.39,26.39,26.39
138,10634859,139,20200305,1858139,16077,98858514,98832971,674929,0.0,0.0,0.0,0.0,0.0
139,10634858,140,20200218,3151084,2230,98858514,98832975,674952,0.0,0.0,26.39,26.39,26.39
140,10634857,141,20180211,5692700,1627,98858518,98832971,718247,0.0,33.0,41.5,41.5,41.5
141,10634857,142,20200730,5441300,1485,98858518,98832971,529180,0.0,44.85,60.95,60.95,60.95
142,10634856,143,20180128,6836329,4104,98858518,98832972,848804,28.75,20.11,57.5,28.75,28.75
143,10634856,144,20191208,6480439,4117,98858518,98832972,143727,0.0,22.0,31.25,31.25,31.25
144,10634856,145,20190425,6940990,4114,98858518,98832972,529180,0.0,25.5,30.95,30.95,30.95
145,10634858,146,20190608,3816249,10688,98858518,98832971,144865,0.0,31.62,42.5,42.5,42.5
146,10634856,147,20190320,6867679,1488,98858518,98832972,374868,0.0,42.0,45.0,45.0,45.0
147,10634857,148,20200923,5485744,694,98858518,98832971,357194,0.0,29.5,37.5,37.5,37.5
148,10634857,149,20200202,5300726,4505,98858518,98832971,848804,32.5,27.0,65.0,32.5,32.5
149,10634856,150,20190205,6784592,4096,98858518,98832972,848598,0.0,31.58,39.95,39.95,39.95
150,10634856,151,20191220,6501688,16281,98858518,98832972,718015,59.95,45.0,119.9,59.95,59.95
151,10634857,152,20191212,5271374,16092,98858518,98832971,718205,0.0,28.5,0.0,0.0,0.0
152,10634859,153,20200406,1873083,91,98858518,98832971,402008,0.0,43.89,0.0,0.0,0.0
153,10634857,154,20190118,5916453,88,98858518,98832971,528646,0.0,22.44,31.5,31.5,31.5
154,10634857,155,20200904,5470588,11010,98858518,98832971,848374,40.5,24.43,81.0,40.5,40.5
155,10634856,156,20171214,6764445,16081,98858518,98832972,718122,124.74999999999999,13.06,149.7,24.95,24.95
156,10634856,157,20200304,6624771,4099,98858518,98832972,848804,32.5,25.48,65.0,32.5,32.5
157,10634856,158,20180630,6381480,4096,98858518,98832972,529180,99.89999999999999,43.39,149.85,49.95,49.95
158,10634856,159,20171220,6773883,15778,98858518,98832972,870519,0.0,22.55,27.5,27.5,27.5
159,10634857,160,20180916,5830930,1627,98858518,98832971,211375,0.0,29.25,41.1,41.1,41.1
160,10634856,161,20180424,6246768,10526,98858518,98832972,865196,60.0,15.0,80.0,20.0,20.0
161,10634856,162,20180508,6275809,4083,98858518,98832972,143727,0.0,29.82,38.25,38.25,38.25
162,10634857,163,20200121,5293511,2472,98858518,98832971,718205,0.0,28.5,33.95,33.95,33.95
163,10634859,164,20190414,1719555,154,98858518,98832971,402008,0.0,22.4,29.45,29.45,29.45
164,10634857,165,20190418,5113669,2472,98858518,98832971,472845,0.0,44.0,49.5,49.5,49.5
165,10634858,166,20180628,3594026,15202,98858522,98832971,433862,0.0,0.0,12.94,12.94,12.94
166,10634859,167,20171103,1470215,1046,98858522,98832975,210138,0.0,0.0,29.4,29.4,29.4
167,10634859,168,20200616,1907642,1775,98858522,98832975,433979,0.0,0.0,0.0,0.0,0.0
168,10634858,169,20200224,3153990,2972,98858522,98832975,433508,20.840000000000003,0.0,31.26,10.42,10.42
169,10634858,170,20190103,3719301,2020,98858522,98832975,491332,0.0,0.0,38.5,38.5,38.5
170,10634858,171,20191120,3925524,274,98858522,98832975,373779,0.0,0.0,0.0,0.0,0.0
171,10634858,172,20200115,3131122,2438,98858522,98832975,2430791,7.37,0.0,14.74,7.37,7.37
172,10634858,173,20181231,3716429,16262,98858522,98832971,430793,0.0,0.0,30.5,30.5,30.5
173,10634859,174,20181219,1665955,1819,98858522,98832975,375659,0.0,0.0,34.72,34.72,34.72
174,10634859,175,20200608,1904066,2754,98858522,98832975,433979,0.0,0.0,0.0,0.0,0.0
175,10634858,176,20200705,3255060,10672,98858522,98832971,491449,0.0,0.0,28.88,28.88,28.88
176,10634859,177,20180613,1572778,10670,98858522,98832971,434001,0.0,0.0,7.84,7.84,7.84
177,10634858,178,20180216,3504867,2438,98858522,98832975,430793,0.0,0.0,40.48,40.48,40.48
178,10634858,179,20190318,3762852,1452,98858522,98832975,2430791,7.07,0.0,14.14,7.07,7.07
179,10634859,180,20200124,1840923,2144,98858522,98832975,491423,0.0,0.0,41.0,41.0,41.0
180,10634858,181,20190812,3854787,1348,98858522,98832971,430793,0.0,0.0,36.0,36.0,36.0
181,10634859,182,20200709,1915702,7331,98858522,98832975,489138,0.0,0.0,0.0,0.0,0.0
182,10634858,183,20200806,3277200,2020,98858522,98832975,6220461,0.0,0.0,0.0,0.0,0.0
183,10634859,184,20190516,1731855,7331,98858522,98832975,373779,0.0,0.0,54.0,54.0,54.0
184,10634858,185,20171108,3441301,1145,98858522,98832975,434001,10.89,0.0,21.78,10.89,10.89
185,10634858,186,20191105,3914241,2438,98858522,98832975,243527,0.0,0.0,0.0,0.0,0.0
186,10634858,187,20181123,3695313,1895,98858522,98832975,263194,0.0,0.0,0.0,0.0,0.0
187,10634858,188,20200131,3142172,2438,98858522,98832975,430785,0.0,0.0,0.0,0.0,0.0
188,10634858,189,20200715,3262221,410,98858522,98832975,347971,0.0,0.0,0.0,0.0,0.0
189,10634858,190,20201130,3370354,1145,98858522,98832975,265835,0.0,0.0,0.0,0.0,0.0
190,10634858,191,20190416,3782024,2486,98858522,98832975,6215941,0.0,0.0,0.0,0.0,0.0
191,10634858,192,20200826,3292909,110,98858522,98832975,433987,0.0,0.0,9.84,9.84,9.84
192,10634858,193,20191009,3894760,2020,98858522,98832975,433516,8.4,0.0,16.8,8.4,8.4
193,10634858,194,20180221,3506871,655,98858522,98832975,434068,33.21,0.0,44.28,11.07,11.07
194,10634859,195,20190828,1776392,1428,98858522,98832975,433508,0.0,0.0,9.84,9.84,9.84
195,10634859,196,20200415,1878010,2144,98858522,98832975,160879,0.0,0.0,17.16,17.16,17.16
196,10634859,197,20201001,1958446,2914,98858522,98832975,265835,0.0,0.0,23.2,23.2,23.2
197,10634858,198,20190115,3726376,1691,98858522,98832975,136044,0.0,0.0,0.0,0.0,0.0
199,10634858,200,20200112,3129243,1891,98858522,98832975,433474,0.0,0.0,7.37,7.37,7.37
200,10634858,201,20201123,3361576,2149,98858522,98832975,433987,0.0,0.0,12.32,12.32,12.32
201,10634858,202,20180426,3551095,883,98858522,98832975,2460343,0.0,0.0,0.0,0.0,0.0
202,10634858,203,20181001,3654728,410,98858523,98832975,386755,49.230000000000004,0.0,65.64,16.41,16.41
203,10634857,204,20201121,5533513,1954,98858523,98832975,386789,18.28,0.0,36.56,18.28,18.28
204,10634858,205,20200818,3286217,2438,98858523,98832975,386862,0.0,0.0,18.28,18.28,18.28
205,10634859,206,20200702,1915816,2144,98858523,98832975,386649,0.0,0.0,0.0,0.0,0.0
206,10634857,207,20200401,5344485,10377,98858523,98832971,383828,0.0,0.0,19.34,19.34,19.34
207,10634857,208,20201022,5508420,15037,98858523,98832971,386748,0.0,0.0,20.4,20.4,20.4
208,10634857,209,20200625,5415319,2312,98858523,98832975,386839,0.0,0.0,0.0,0.0,0.0
209,10634858,210,20180820,3626574,2073,98858523,98832975,386839,0.0,0.0,17.41,17.41,17.41
210,10634857,211,20190211,5930841,2312,98858523,98832975,386748,0.0,0.0,16.38,16.38,16.38
211,10634858,212,20180802,3614283,47,98858523,98832975,386797,0.0,0.0,17.41,17.41,17.41
212,10634856,213,20171231,6787747,387,98858523,98832975,386755,15.41,0.0,30.82,15.41,15.41
213,10634858,214,20200502,3208513,2486,98858523,98832975,386854,0.0,0.0,17.04,17.04,17.04
214,10634857,215,20190608,5146176,3906,98858523,98832975,383828,16.93,0.0,33.86,16.93,16.93
215,10634856,216,20180619,6360639,387,98858523,98832975,386797,0.0,0.0,16.21,16.21,16.21
216,10634857,217,20180927,5839672,3909,98858523,98832975,780312,32.19,0.0,64.38,32.19,32.19
217,10634858,218,20190627,3828577,1819,98858523,98832975,372045,0.0,0.0,14.23,14.23,14.23
218,10634857,219,20191026,5239497,168,98858523,98832975,2450344,0.0,0.0,29.69,29.69,29.69
219,10634857,220,20200703,5420773,168,98858523,98832975,818393,14.28,0.0,28.56,14.28,14.28
220,10634858,221,20200806,3277683,11041,98858523,98832971,617274,0.0,0.0,0.0,0.0,0.0
221,10634858,222,20190502,3791884,1891,98858523,98832975,383828,0.0,0.0,16.38,16.38,16.38
222,10634856,223,20190623,6173680,387,98858523,98832975,816322,0.0,0.0,15.63,15.63,15.63
223,10634856,224,20181005,6569213,387,98858523,98832975,386789,17.41,0.0,34.82,17.41,17.41
224,10634858,225,20200813,3283922,2438,98858523,98832975,853796,0.0,0.0,0.0,0.0,0.0
225,10634858,226,20190530,3811144,2061,98858523,98832975,2450328,0.0,0.0,0.0,0.0,0.0
226,10634859,227,20200223,1852834,462,98858523,98832971,818393,0.0,0.0,18.64,18.64,18.64
227,10634856,228,20180626,6374145,387,98858523,98832975,386698,17.41,0.0,34.82,17.41,17.41
228,10634858,229,20200608,3236815,2438,98858523,98832975,818393,0.0,0.0,0.0,0.0,0.0
229,10634858,230,20181115,3689438,2061,98858523,98832975,386714,0.0,0.0,17.21,17.21,17.21
230,10634859,231,20190131,1685882,1775,98858523,98832975,780288,0.0,0.0,28.44,28.44,28.44
231,10634857,232,20201012,5500879,389,98858523,98832975,386714,14.88,0.0,29.76,14.88,14.88
232,10634858,233,20200717,3263855,2014,98858523,98832975,821900,0.0,0.0,30.2,30.2,30.2
233,10634857,234,20200909,5473525,2645,98858523,98832975,818492,0.0,0.0,0.0,0.0,0.0
234,10634857,235,20190701,5160729,2312,98858523,98832975,6215701,19.15,0.0,38.3,19.15,19.15
235,10634857,236,20200527,5391419,2620,98858523,98832975,386854,0.0,0.0,0.0,0.0,0.0
236,10634859,237,20180331,1534951,2144,98858523,98832975,780312,0.0,0.0,31.19,31.19,31.19
237,10634857,238,20200506,5375030,1954,98858523,98832975,386714,0.0,0.0,17.04,17.04,17.04
238,10634857,239,20200311,5327673,1691,98858523,98832975,780288,0.0,0.0,0.0,0.0,0.0
239,10634858,240,20190922,3883925,322,98858523,98832975,386698,16.03,0.0,32.06,16.03,16.03
240,10634859,241,20190611,1744394,1775,98858523,98832975,386649,0.0,0.0,16.93,16.93,16.93
241,10634859,242,20200529,1899696,1775,98858523,98832975,386789,0.0,0.0,15.28,15.28,15.28
242,10634859,243,20181109,1645492,1254,98858523,98832971,386847,0.0,0.0,18.12,18.12,18.12
243,10634858,244,20190707,3834399,110,98858523,98832975,386755,15.03,0.0,30.06,15.03,15.03
244,10634859,245,20191017,1798479,1046,98858523,98832975,386714,0.0,0.0,15.63,15.63,15.63
245,10634857,246,20200831,5464254,10768,98858523,98832971,818492,0.0,0.0,0.0,0.0,0.0
246,10634858,247,20200806,3277574,47,98858523,98832975,386698,0.0,0.0,0.0,0.0,0.0
247,10634857,248,20200117,5291479,2645,98858525,98832975,430801,0.0,0.0,28.47,28.47,28.47
248,10634857,249,20200811,5449783,2142,98858525,98832975,375709,0.0,0.0,31.5,31.5,31.5
249,10634857,250,20181228,5901593,1934,98858525,98832975,433516,12.32,0.0,24.64,12.32,12.32
250,10634856,251,20180630,6381425,1691,98858525,98832975,433987,0.0,0.0,12.32,12.32,12.32
251,10634857,252,20190508,5126502,2620,98858525,98832975,491415,0.0,0.0,45.5,45.5,45.5
252,10634856,253,20191223,6505394,387,98858525,98832975,265835,23.2,0.0,46.4,23.2,23.2
253,10634856,254,20181024,6600680,387,98858525,98832975,433474,0.0,0.0,9.84,9.84,9.84
254,10634857,255,20200324,5338036,2194,98858525,98832971,263194,0.0,0.0,0.0,0.0,0.0
255,10634857,256,20200124,5295928,2312,98858525,98832975,162073,0.0,0.0,0.0,0.0,0.0
256,10634857,257,20180326,5717913,7331,98858525,98832975,162073,0.0,0.0,34.08,34.08,34.08
257,10634857,258,20171230,5671392,168,98858525,98832975,483339,0.0,0.0,16.0,16.0,16.0
258,10634856,259,20180523,6306141,387,98858525,98832975,491456,32.4,0.0,64.8,32.4,32.4
259,10634856,260,20190427,6943766,1709,98858525,98832975,787093,0.0,0.0,0.0,0.0,0.0
260,10634856,261,20190403,6897099,387,98858525,98832975,491506,0.0,0.0,26.8,26.8,26.8
261,10634857,262,20200402,5345553,985,98858525,98832975,162057,0.0,0.0,35.76,35.76,35.76
262,10634856,263,20190524,6117828,387,98858525,98832975,263194,0.0,0.0,35.76,35.76,35.76
263,10634856,264,20180820,6477853,387,98858525,98832975,430785,0.0,0.0,40.48,40.48,40.48
264,10634857,265,20200329,5343131,1496,98858525,98832975,865667,0.0,0.0,0.0,0.0,0.0
265,10634857,266,20200520,5385376,985,98858525,98832975,865667,0.0,0.0,0.0,0.0,0.0
266,10634857,267,20200203,5301128,2002,98858525,98832975,430785,0.0,0.0,0.0,0.0,0.0
267,10634856,268,20190609,6148085,2013,98858525,98832975,787093,0.0,0.0,0.0,0.0,0.0
268,10634856,269,20191127,6460112,387,98858525,98832975,265835,0.0,0.0,23.2,23.2,23.2
269,10634856,270,20171227,6780620,16359,98858525,98832971,146076,0.0,0.0,18.02,18.02,18.02
270,10634857,271,20200603,5396874,2620,98858525,98832975,491332,142.0,0.0,177.5,35.5,35.5
271,10634857,272,20190330,5100921,168,98858525,98832975,263194,0.0,0.0,34.08,34.08,34.08
272,10634856,273,20190421,6933141,387,98858525,98832975,787093,0.0,0.0,0.0,0.0,0.0
273,10634856,274,20181105,6626024,387,98858525,98832975,266346,0.0,0.0,0.0,0.0,0.0
