ORDER_NUMBER,ORDER_QUANTITY,SHIPPED_QUANTITY,ORDER_TYPE,PURCHASE_ORDER_NUMBER
5697906,1,1,REGULAR,0
5686756,1,1,REGULAR,0
5952469,2,2,PROMOTIONAL,0
3770401,1,1,REGULAR,0
5745888,1,1,REGULAR,0
3482594,1,1,REGULAR,0
5929392,1,1,REGULAR,0
3751378,1,1,REGULAR,0
3705017,1,1,REGULAR,0
5883480,1,1,REGULAR,0
1944966,4,4,REGULAR,0
1931097,9,9,REGULAR,0
1488588,1,1,REGULAR,0
1547339,1,1,REGULAR,0
1667439A,2,2,REGULAR,0
1760562,1,1,REGULAR,0
1545560,2,2,PROMOTIONAL,0
1842029,15,15,REGULAR,0
1709902,2,2,PROMOTIONAL,0
1889138,1,0,REGULAR,0
1625154,1,1,REGULAR,0
1952916,2,2,PROMOTIONAL,0
1528713,1,1,REGULAR,0
3304910,2,0,PROMOTIONAL,0
3348063,1,1,REGULAR,0
6289360,1,1,REGULAR,0
6353544,1,1,REGULAR,0
3275439,1,1,REGULAR,0
3143817,1,1,PROMOTIONAL,0
5671488,3,3,REGULAR,0
6332483,1,1,REGULAR,0
5117175,1,1,REGULAR,0
5335732,1,0,REGULAR,0
5359689,1,0,REGULAR,0
3816549,1,1,PROMOTIONAL,0
3251472,1,1,REGULAR,0
3522200A,1,1,REGULAR,0
3632061,4,4,REGULAR,0
5472194,1,1,PROMOTIONAL,0
5528793,1,1,REGULAR,0
3731199,1,1,REGULAR,0
5919538,1,1,REGULAR,0
6247510,1,1,REGULAR,0
3183381,1,1,REGULAR,0
6880381,2,2,PROMOTIONAL,0
5513167,1,1,REGULAR,0
3167141,1,1,REGULAR,0
3886536,1,1,REGULAR,0
6555320,2,2,REGULAR,0
6479537,1,1,REGULAR,0
3631573,1,1,REGULAR,0
5861579,1,1,REGULAR,0
5307314,1,1,REGULAR,0
5831286,1,1,REGULAR,0
6704905,1,1,REGULAR,0
6600385,1,1,REGULAR,0
3251410,1,1,REGULAR,0
6799624,1,1,REGULAR,0
6851532,1,1,REGULAR,0
5390208,1,1,REGULAR,0
6841519,1,1,REGULAR,0
3193216,1,0,REGULAR,0
6162283,1,1,REGULAR,0
3882991,1,1,REGULAR,0
5414849,1,1,REGULAR,0
5718349,1,1,REGULAR,0
3648086,1,1,PROMOTIONAL,0
5478337,1,1,REGULAR,0
3769671,1,1,PROMOTIONAL,0
5372145,1,1,REGULAR,0
6682991,1,1,REGULAR,0
3531137,1,0,REGULAR,0
3656990,2,2,REGULAR,0
5685967,1,1,REGULAR,0
3463539,1,1,REGULAR,0
3591571,1,1,REGULAR,0
5737276,1,1,REGULAR,0
5340737,1,0,REGULAR,0
6525320,1,1,REGULAR,0
5142053,1,1,PROMOTIONAL,0
5289210,2,2,BOOKING,0
3581533,1,1,PROMOTIONAL,0
5295888,1,1,REGULAR,0
5921636,1,1,REGULAR,0
3137010,1,1,REGULAR,0
3265396,1,1,REGULAR,0
5703523,1,1,REGULAR,0
3370737,2,2,REGULAR,0
5105848,1,1,REGULAR,0
3681854,1,1,REGULAR,0
5215731,1,1,REGULAR,0
3469581,2,2,REGULAR,0
5488251,1,1,REGULAR,0
5798533,1,1,REGULAR,0
3528793,1,1,REGULAR,0
5239953,2,2,PROMOTIONAL,0
3582044,1,1,REGULAR,0
3854888,1,1,REGULAR,0
3346211,1,0,PROMOTIONAL,0
5345844,1,1,REGULAR,0
6644634,2,0,REGULAR,0
3530609,1,1,REGULAR,0
3504476A,1,1,PROMOTIONAL,0
3346693,1,0,PROMOTIONAL,0
3888367,1,1,REGULAR,0
6800299,1,1,REGULAR,0
6910677,1,1,REGULAR,0
3759389,1,1,REGULAR,0
5750076,1,1,REGULAR,0
3736714,1,1,REGULAR,0
5523210,1,1,REGULAR,0
3195849,1,1,REGULAR,0
3858063,1,1,REGULAR,0
1485385,1,1,REGULAR,0
3292787,2,2,REGULAR,0
3455214,2,2,REGULAR,0
3464549,2,2,REGULAR,0
1833719,2,2,REGULAR,0
3764800,2,2,REGULAR,0
6642462,4,4,REGULAR,0
5208354,1,1,REGULAR,0
6681172,2,2,REGULAR,0
1714992,1,1,REGULAR,0
3355976,1,1,REGULAR,0
5766331,1,1,REGULAR,0
5809332,1,1,REGULAR,0
3865574,1,1,REGULAR,0
5182353,1,1,REGULAR,0
6762519,1,1,REGULAR,0
6334521,1,1,REGULAR,0
6720027,1,1,REGULAR,0
6634278,1,1,REGULAR,0
6197028,1,1,REGULAR,0
5321246,6,6,EMERG TRANSFER,0
6654666,1,0,REGULAR,0
6566292,1,1,REGULAR,0
6572147,1,1,REGULAR,0
6268988,1,1,REGULAR,0
6405826,1,1,REGULAR,0
6897533,3,3,REGULAR,0
6787196,1,1,REGULAR,0
6297977,1,1,REGULAR,0
6750266,1,1,REGULAR,0
6265699,1,1,REGULAR,0
6675175,1,1,REGULAR,0
6375183,1,1,REGULAR,0
6767465,2,2,REGULAR,0
6941157,5,5,REGULAR,0
6654014,1,1,PROMOTIONAL,0
6771518,1,0,REGULAR,0
6441018,2,2,REGULAR,0
6831444,1,1,REGULAR,0
6713971,1,1,REGULAR,0
6637781,1,1,REGULAR,0
6395527,1,1,REGULAR,0
6227247,1,1,PROMOTIONAL,0
6705798,1,1,PROMOTIONAL,0
6799654,1,1,REGULAR,0
6959631,2,2,PROMOTIONAL,0
6666423,2,2,REGULAR,0
5362208,1,1,REGULAR,0
5852086,1,1,REGULAR,0
6700338,1,0,REGULAR,0
1865175,1,1,REGULAR,0
5408256,1,1,REGULAR,0
3120677,1,1,REGULAR,0
6967560,2,2,PROMOTIONAL,0
3756369,1,0,REGULAR,0
1490547,1,1,REGULAR,0
5771443,1,1,REGULAR,0
3833516,1,1,REGULAR,0
3215187,1,1,REGULAR,0
3865096,1,1,REGULAR,0
6670392,1,0,REGULAR,0
6826040,2,2,PROMOTIONAL,0
3116221,1,0,PROMOTIONAL,0
3897572,1,1,REGULAR,0
5665149,1,1,REGULAR,0
5131382,1,1,REGULAR,0
5219121,1,1,REGULAR,0
6317073,1,1,REGULAR,0
5685407,1,1,REGULAR,0
6595435,1,1,REGULAR,0
6553554,1,1,REGULAR,0
6412829,2,2,REGULAR,0
6494398,1,1,REGULAR,0
5123135,2,2,REGULAR,0
5214771,1,1,REGULAR,0
6973104,1,1,REGULAR,0
6223339,1,1,REGULAR,0
5326856,1,1,REGULAR,0
5949445,1,1,REGULAR,0
5342742,1,1,REGULAR,0
3723180,1,1,REGULAR,0
5847283,1,1,REGULAR,0
3229125,1,1,REGULAR,0
1502964,1,0,REGULAR,0
5811867,1,1,REGULAR,0
6545308,1,1,REGULAR,0
3180950,1,1,REGULAR,0
5428258,1,0,REGULAR,0
6511561,1,1,REGULAR,0
3335248,1,0,REGULAR,0
3236328,1,0,REGULAR,0
6235644,1,1,REGULAR,0
1884753,1,1,REGULAR,0
6962410,1,1,REGULAR,0
6696511,1,1,REGULAR,0
3478965,1,1,REGULAR,0
3440931,1,1,REGULAR,0
3239646,1,1,REGULAR,0
3655930,1,1,REGULAR,0
3741265,1,1,REGULAR,0
5687644,-1,-1,REGULAR,0
3673114,8,8,REGULAR,0
6802019,1,1,REGULAR,0
6718992,-1,-1,REGULAR,0
5860959,2,2,REGULAR,0
3745819,1,1,REGULAR,0
6155648,1,1,REGULAR,0
6248282,1,1,REGULAR,0
6891826,1,0,REGULAR,0
6749241,2,2,REGULAR,0
3513545,1,1,REGULAR,0
5838393,1,1,REGULAR,0
1924691,1,0,REGULAR,0
5684240,10,10,REGULAR,0
5207945,1,1,REGULAR,0
5862601,3,3,REGULAR,0
5102905,1,0,REGULAR,0
5885805,1,1,REGULAR,0
6204523,1,1,REGULAR,0
1835386,2,2,REGULAR,0
5421827,1,1,REGULAR,0
3854149,1,1,REGULAR,0
6000336,3,3,SEASONAL,0
6408392,1,0,REGULAR,0
6695853,1,1,REGULAR,0
6950427,1,1,REGULAR,0
6570624,1,1,REGULAR,0
6316020,1,1,REGULAR,0
5130360,10,10,REGULAR,0
5872448,3,3,REGULAR,0
1560908,1,0,REGULAR,0
6874349,12,12,BOOKING,0
5123761,1,1,REGULAR,0
3101881,2,2,REGULAR,0
5674079,1,1,REGULAR,0
1580835,1,1,REGULAR,0
1811325,1,1,REGULAR,0
3766495,1,1,REGULAR,0
6568375,2,2,REGULAR,0
6751338,2,2,REGULAR,0
1868708,2,2,REGULAR,0
5647836,1,1,REGULAR,0
6718229,1,0,REGULAR,0
1689815,1,1,REGULAR,0
1702695,1,1,REGULAR,0
3634122,1,1,REGULAR,0
1525494,1,1,REGULAR,0
3768963,1,1,REGULAR,0
3142043,1,1,REGULAR,0
3172069,1,0,REGULAR,0
1775450,1,1,REGULAR,0
3836463,1,0,REGULAR,0
3616144,3,3,REGULAR,0
5846551,1,1,REGULAR,0
6779805,1,1,REGULAR,0
6713631,2,0,REGULAR,0
6213760,1,1,REGULAR,0
6891161,8,8,BOOKING,0
6374851,1,1,REGULAR,0
6597926,2,2,REGULAR,0
6372815,4,4,REGULAR,0
3131295,1,0,REGULAR,0
5494081,1,1,REGULAR,0
5872017,1,0,REGULAR,0
5353993,1,0,REGULAR,0
3326862,1,1,REGULAR,0
6632425,2,2,REGULAR,0
6297080,4,4,REGULAR,0
6110730,1,1,REGULAR,0
6330372,2,2,REGULAR,0
6216679,1,1,REGULAR,0
6276141,1,1,REGULAR,0
6413203,1,1,REGULAR,0
6776539,1,1,REGULAR,0
6371634,1,1,REGULAR,0
6970354,2,2,REGULAR,0
6875023,1,1,REGULAR,0
6786171,1,1,REGULAR,0
6416371,1,1,REGULAR,0
1957697,1,1,REGULAR,0
5794677,1,1,REGULAR,0
3465968,1,1,REGULAR,0
5909719,1,1,REGULAR,0
3467160,1,1,REGULAR,0
6527092,1,1,REGULAR,0
3866280,1,1,REGULAR,0
3596209,1,1,REGULAR,0
5104571,1,1,REGULAR,0
5499303,1,1,REGULAR,0
3904959,1,1,PROMOTIONAL,0
1911670,1,1,REGULAR,0
5942116,1,1,REGULAR,0
3243452,1,0,REGULAR,0
5915546,1,1,REGULAR,0
3264483,1,0,REGULAR,0
1710289,1,1,REGULAR,0
1932808,2,0,REGULAR,0
5700131,1,1,REGULAR,0
3564113,1,1,REGULAR,0
6505019,1,1,REGULAR,0
3922362,1,1,REGULAR,0
3748922,1,1,REGULAR,0
5331180,1,1,REGULAR,0
1645557,1,1,REGULAR,0
5498720,1,1,REGULAR,0
3252803,1,1,REGULAR,0
6913372,1,1,REGULAR,0
3235455,1,0,REGULAR,0
6333392,1,1,PROMOTIONAL,0
3562399,1,1,REGULAR,0
1750260,1,1,REGULAR,0
5366208,1,1,REGULAR,0
5957453,1,1,REGULAR,0
5303194,1,1,REGULAR,0
5728569,1,1,REGULAR,0
5952132,1,1,REGULAR,0
3709397,1,1,REGULAR,0
5761119,1,1,REGULAR,0
3190757,2,2,REGULAR,0
3227911,1,0,REGULAR,0
5334762,1,1,REGULAR,0
3890392,1,1,REGULAR,0
3228075,1,0,REGULAR,0
3323033,1,0,REGULAR,0
6257602,1,1,REGULAR,0
3241852,2,2,PROMOTIONAL,0
5695266,2,2,REGULAR,0
3231216,1,1,REGULAR,0
5663027,1,1,REGULAR,0
6646140,1,1,REGULAR,0
3730165,1,1,REGULAR,0
5353293,1,1,REGULAR,0
6897304,1,1,REGULAR,0
5799026,1,1,REGULAR,0
5327894,1,0,REGULAR,0
5344057,1,1,REGULAR,0
3641179,1,1,PROMOTIONAL,0
1982607,1,1,REGULAR,0
5334956,1,1,REGULAR,0
3481476,1,1,REGULAR,0
3728001,1,1,REGULAR,0
3213326,1,1,REGULAR,0
5686357,1,1,REGULAR,0
3751661,1,1,REGULAR,0
5508857,1,0,REGULAR,0
3200356,1,0,REGULAR,0
3331841,2,2,REGULAR,0
1806807A,1,1,REGULAR,0
1797789,1,1,REGULAR,0
3145095,1,1,REGULAR,0
1631872,1,1,REGULAR,0
5256258,1,1,REGULAR,0
6428444,1,1,REGULAR,0
6377980,1,1,REGULAR,0
6748303,1,1,REGULAR,0
1846451,1,1,REGULAR,0
1833160,1,1,REGULAR,0
5276297,2,2,REGULAR,0
3178634,1,0,REGULAR,0
1476316,1,1,REGULAR,0
5369487,1,1,REGULAR,0
5159386,1,1,REGULAR,0
6360272,1,1,REGULAR,0
5485323,1,0,REGULAR,0
5404416A,1,1,REGULAR,0
5183092,1,0,REGULAR,0
6472171,1,1,REGULAR,0
3293964,1,0,REGULAR,0
3349471,1,0,REGULAR,0
1764539,1,1,REGULAR,0
6244875,1,1,REGULAR,0
1520473,1,1,REGULAR,0
1875799A,2,2,REGULAR,0
6584318,1,1,REGULAR,0
5503781,1,1,REGULAR,0
3239902,1,0,REGULAR,0
1614681,1,0,PROMOTIONAL,0
6235489,1,1,REGULAR,0
5441285,1,1,REGULAR,0
3719311,1,1,REGULAR,0
6943505,1,1,REGULAR,0
6710859,1,1,PROMOTIONAL,0
5406314,1,0,REGULAR,0
3633861,1,0,REGULAR,0
3798663,1,1,REGULAR,0
3317523,4,4,REGULAR,0
6235421,1,1,REGULAR,0
5887567,1,1,REGULAR,0
3683565,1,1,REGULAR,0
3915112,1,1,REGULAR,0
3724918,1,1,REGULAR,0
6639324,1,1,REGULAR,0
3268355,1,1,REGULAR,0
5675873,1,1,REGULAR,0
3799721,1,1,PROMOTIONAL,0
3638123,1,1,PROMOTIONAL,0
6622206,1,1,REGULAR,0
3566125,1,1,REGULAR,0
5260275,1,1,REGULAR,0
3438244,2,2,PROMOTIONAL,0
1634352,1,1,REGULAR,0
5667703,1,1,REGULAR,0
5515848,1,1,REGULAR,0
1716103,1,1,REGULAR,0
3492273,1,1,REGULAR,0
5108421,1,1,REGULAR,0
5329152,1,1,REGULAR,0
5354051,1,1,REGULAR,0
1851026,1,1,REGULAR,0
1566406,1,1,REGULAR,0
3321301,2,0,REGULAR,0
3700038,1,1,REGULAR,0
1940787A,1,1,REGULAR,0
3642948,1,0,PROMOTIONAL,0
5427535,1,1,REGULAR,0
5782371,1,1,REGULAR,0
5954687,1,1,REGULAR,0
3766387,1,1,REGULAR,0
3164999,1,1,REGULAR,0
5808452,1,1,REGULAR,0
1747634,1,1,REGULAR,0
3309703,2,0,REGULAR,0
1566516,1,1,REGULAR,0
1926267,1,1,REGULAR,0
6571468,2,2,REGULAR,0
6291896,1,1,REGULAR,0
5121388,4,4,BOOKING,0
5797806,1,1,REGULAR,0
3553083,1,0,PROMOTIONAL,0
6338098,2,2,PROMOTIONAL,0
6247492,6,6,REGULAR,0
6813594,6,6,REGULAR,0
6195480,6,6,REGULAR,0
6331663,6,6,REGULAR,0
6125997,6,0,REGULAR,0
6201427,4,4,REGULAR,0
6336337,6,6,REGULAR,0
