,CUSTOMER_NUMBER,CUSTOMER_LOCATION,CUSTOMER_DEPARTMENT,CUSTOMER_PROVINCE
231,389,1,60,ARIZONA
232,2014,12,60,TEXAS
233,2645,10,62,ARIZONA
234,2312,12,62,ARIZONA
235,2620,20,62,ARIZONA
236,2144,33,62,CALIFORNIA
237,1954,15,67,MICHIGAN
238,1691,12,62,ARIZONA
239,322,1,62,TEXAS
240,1775,7,62,CALIFORNIA
241,1775,31,62,CALIFORNIA
242,1254,1,0,CALIFORNIA
243,110,1,60,TEXAS
244,1046,1,9,CALIFORNIA
245,10768,1,0,ARIZONA
246,47,1,9,TEXAS
247,2645,10,62,ARIZONA
248,2142,7,60,ARIZONA
249,1934,4,62,ARIZONA
250,1691,1,62,ARIZONA
251,2620,22,62,ARIZONA
252,387,13,62,ARIZONA
253,387,2,62,ARIZONA
254,2194,1,0,ARIZONA
255,2312,1,60,ARIZONA
256,7331,3,60,FLORIDA
257,168,1,62,ARIZONA
258,387,2,62,ARIZONA
259,1709,1,62,TEXAS
260,387,6,62,ARIZONA
261,985,14,62,ARIZONA
262,387,6,62,ARIZONA
263,387,22,62,ARIZONA
264,1496,9,62,ARIZONA
265,985,21,62,ARIZONA
266,2002,1,60,FLORIDA
267,2013,1,62,ARIZONA
268,387,24,62,ARIZONA
269,16359,1,0,MICHIGAN
270,2620,18,62,ARIZONA
271,168,1,62,ARIZONA
272,387,9,62,ARIZONA
273,387,24,62,ARIZONA
274,387,8,62,ARIZONA
275,387,14,62,ARIZONA
276,387,6,62,ARIZONA
277,2791,1,0,ARIZONA
278,387,5,62,ARIZONA
279,2312,3,62,ARIZONA
280,10952,1,0,MICHIGAN
281,387,26,62,ARIZONA
282,2300,12,70,CALIFORNIA
283,2230,1,62,TEXAS
284,387,11,62,ARIZONA
285,1691,1,62,ARIZONA
286,2486,1,62,TEXAS
287,10110,1,0,ARIZONA
288,10768,1,0,ARIZONA
289,2438,6,62,TEXAS
290,2149,6,62,TEXAS
291,7331,3,60,FLORIDA
292,10768,1,0,ARIZONA
293,15454,1,0,NEW JERSEY
294,16351,1,0,NEW JERSEY
295,1496,9,62,ARIZONA
296,1629,1,0,FLORIDA
297,16337,1,0,ARIZONA
298,1979,2,62,ARIZONA
299,10542,1,0,TEXAS
300,2142,70,62,ARIZONA
301,10076,1,0,ARIZONA
302,2701,11,9,ARIZONA
303,387,24,62,ARIZONA
304,2144,42,85,OHIO
305,2645,6,83,ARIZONA
306,600,1,0,NEW JERSEY
307,1691,9,67,ARIZONA
308,1775,9,83,CALIFORNIA
309,2073,7,67,TEXAS
310,1709,52,67,TEXAS
311,2872,60,67,TEXAS
312,387,45,70,ARIZONA
313,2806,3,62,CALIFORNIA
314,437,3,20,CALIFORNIA
315,2300,18,70,CALIFORNIA
316,16081,1,0,ARIZONA
317,801,1,0,ARIZONA
318,10271,1,0,TEXAS
319,567,1,0,  
320,16188,1,0,ARIZONA
321,2447,1,0,MICHIGAN
322,10286,1,0,TEXAS
323,4102,1,0,ARIZONA
324,4091,1,0,ARIZONA
325,655,41,61,TEXAS
326,1979,1,75,ARIZONA
327,2438,9,23,TEXAS
328,1691,2,70,ARIZONA
329,16351,1,0,NEW JERSEY
330,2020,3,60,TEXAS
331,2972,23,67,TEXAS
332,2786,6,20,MICHIGAN
333,646,2,62,MICHIGAN
334,387,20,62,ARIZONA
335,387,20,62,ARIZONA
336,804,1,60,TEXAS
337,10768,1,0,ARIZONA
338,2451,1,9,ARIZONA
339,2312,15,60,ARIZONA
340,208,14,62,TEXAS
341,387,4,62,ARIZONA
342,2144,48,62,CALIFORNIA
343,387,15,62,ARIZONA
344,2144,73,62,CALIFORNIA
345,1297,2,62,CALIFORNIA
346,1046,1,9,CALIFORNIA
347,1869,5,60,CALIFORNIA
348,2061,7,62,TEXAS
349,2073,4,62,TEXAS
350,15098,1,0,TEXAS
351,4099,1,0,ARIZONA
352,4099,1,0,ARIZONA
353,10878,1,0,TEXAS
354,16261,1,0,ARIZONA
355,858,1,0,CALIFORNIA
356,4104,1,0,ARIZONA
357,15114,1,0,ARIZONA
358,15675,1,0,TEXAS
359,4507,1,0,ARIZONA
360,15202,1,0,TEXAS
361,4091,1,0,ARIZONA
362,567,1,0,CALIFORNIA
363,10435,1,0,ARIZONA
364,15316,1,0,ARIZONA
365,1819,1,60,TEXAS
366,2061,7,62,TEXAS
367,2872,6,62,TEXAS
368,1145,5,62,TEXAS
369,2020,52,60,TEXAS
370,2486,6,62,TEXAS
371,2182,2,60,TEXAS
372,16276,1,0,CALIFORNIA
373,2061,1,62,TEXAS
374,655,1,60,TEXAS
375,110,1,60,TEXAS
376,2438,33,62,TEXAS
377,2759,1,9,CALIFORNIA
378,410,8,9,TEXAS
379,2230,4,70,TEXAS
380,2014,14,70,TEXAS
381,2786,6,70,MICHIGAN
382,387,2,70,ARIZONA
383,452,4,70,TEXAS
384,2620,22,62,ARIZONA
385,2786,14,75,MICHIGAN
386,2020,92,60,TEXAS
387,858,1,0,CALIFORNIA
388,2142,7,60,ARIZONA
389,6759,1,0,TEXAS
390,4959,1,62,CALIFORNIA
391,10795,1,0,TEXAS
392,168,1,62,ARIZONA
393,3912,1,66,MICHIGAN
394,1693,2,81,TEXAS
395,2214,3,62,ARIZONA
396,1691,12,62,ARIZONA
397,2061,1,62,TEXAS
398,387,22,62,ARIZONA
399,2645,10,62,ARIZONA
400,1811,1,62,TEXAS
401,2602,1,0,ARIZONA
402,2620,20,62,ARIZONA
403,168,1,62,ARIZONA
404,2872,6,62,TEXAS
405,10612,1,0,ARIZONA
406,2438,11,62,TEXAS
407,530,1,0,FLORIDA
408,2486,1,62,TEXAS
409,2312,1,62,ARIZONA
410,2037,1,60,ARIZONA
411,2914,47,62,CALIFORNIA
412,858,2,0,CALIFORNIA
414,1869,1,62,CALIFORNIA
415,64,1,62,CALIFORNIA
416,2059,6,62,CALIFORNIA
417,2059,33,62,CALIFORNIA
418,771,1,62,CALIFORNIA
419,2305,1,62,CALIFORNIA
420,271,11,62,CALIFORNIA
421,2144,31,62,CALIFORNIA
422,2144,72,62,CALIFORNIA
423,2830,19,60,OHIO
424,1775,7,62,CALIFORNIA
426,1691,12,62,ARIZONA
427,322,7,62,TEXAS
428,2486,7,62,TEXAS
429,387,5,62,ARIZONA
430,1691,1,62,ARIZONA
431,10868,1,0,TEXAS
432,104,1,62,TEXAS
433,7331,3,60,FLORIDA
434,387,11,62,ARIZONA
435,1871,1,62,ARIZONA
436,1954,1,62,MICHIGAN
437,2142,4,62,ARIZONA
438,1891,8,62,TEXAS
439,2438,15,62,TEXAS
440,1819,1,60,TEXAS
441,2486,6,62,TEXAS
442,1360,1,62,ARIZONA
443,1496,9,62,ARIZONA
444,1895,1,62,CALIFORNIA
445,1560,1,62,MICHIGAN
446,387,8,62,ARIZONA
447,2073,45,9,TEXAS
448,387,15,62,ARIZONA
449,1954,31,62,MICHIGAN
450,2438,52,62,TEXAS
451,655,41,60,TEXAS
452,387,5,62,ARIZONA
453,1934,1,62,ARIZONA
454,10200,1,0,TEXAS
455,985,20,62,ARIZONA
456,2312,15,60,ARIZONA
457,389,1,60,ARIZONA
458,387,22,62,ARIZONA
459,387,19,62,ARIZONA
460,1972,1,60,TEXAS
461,11003,1,0,ARIZONA
462,387,7,62,ARIZONA
463,2013,1,62,ARIZONA
464,1934,4,62,ARIZONA
465,2230,5,62,TEXAS
466,387,7,62,ARIZONA
467,1895,1,62,CALIFORNIA
468,2142,70,62,ARIZONA
470,1979,1,62,ARIZONA
471,655,1,60,TEXAS
472,1934,4,62,ARIZONA
473,1307,2,60,TEXAS
474,2789,1,60,ARIZONA
475,387,9,62,ARIZONA
476,883,1,60,TEXAS
477,804,1,60,TEXAS
478,16139,2,0,ARIZONA
479,1307,2,60,TEXAS
480,2020,24,60,TEXAS
481,2214,3,62,ARIZONA
482,15300,1,0,NEW JERSEY
484,387,5,62,ARIZONA
485,3912,1,60,MICHIGAN
486,7331,421,0,FLORIDA
487,1895,1,62,CALIFORNIA
488,389,1,60,ARIZONA
489,10613,1,0,ARIZONA
490,1307,2,60,TEXAS
491,10422,1,0,TEXAS
492,1496,9,62,ARIZONA
493,1691,11,62,ARIZONA
495,2142,6,62,ARIZONA
496,2628,1,60,TEXAS
498,985,17,62,ARIZONA
499,2014,12,60,TEXAS
500,985,21,62,ARIZONA
501,7167,1,0,NEW JERSEY
502,110,1,60,TEXAS
503,1954,1,62,MICHIGAN
504,1709,1,62,TEXAS
505,1819,6,62,TEXAS
506,2020,67,60,TEXAS
507,168,1,62,ARIZONA
508,387,2,62,ARIZONA
509,2872,6,62,TEXAS
510,1811,1,62,TEXAS
512,1972,1,60,TEXAS
513,2073,89,62,TEXAS
514,387,20,62,ARIZONA
515,387,26,62,ARIZONA
516,2674,21,60,CALIFORNIA
517,2620,18,62,ARIZONA
518,410,8,9,TEXAS
519,985,14,62,ARIZONA
520,2438,52,62,TEXAS
521,1412,5,9,TEXAS
522,4959,5,64,CALIFORNIA
523,2438,15,64,TEXAS
524,2438,6,64,TEXAS
525,732,1,64,TEXAS
526,2914,47,64,CALIFORNIA
527,2438,5,64,TEXAS
528,110,1,30,TEXAS
529,2312,12,64,ARIZONA
530,387,3,64,ARIZONA
531,1775,31,64,CALIFORNIA
532,2438,33,64,TEXAS
533,2002,1,64,FLORIDA
534,985,20,64,ARIZONA
535,1288,1,0,TEXAS
536,1979,1,64,ARIZONA
537,2674,21,60,CALIFORNIA
538,64,1,62,CALIFORNIA
539,2059,6,62,CALIFORNIA
540,387,4,30,ARIZONA
541,387,2,30,ARIZONA
542,6867,1,0,TEXAS
543,387,23,62,ARIZONA
544,2037,11,10,ARIZONA
545,1807,1,70,CALIFORNIA
546,75127,1,0,ARIZONA
547,322,2,73,TEXAS
548,2438,9,70,TEXAS
549,2761,1,70,MICHIGAN
550,1891,1,23,TEXAS
551,1891,1,23,TEXAS
552,655,4,20,TEXAS
553,1819,3,70,TEXAS
554,2749,4,20,TEXAS
555,1819,3,70,TEXAS
556,2645,2,70,ARIZONA
557,1775,31,62,CALIFORNIA
558,3911,2,60,MICHIGAN
559,2194,1,0,ARIZONA
560,1691,11,30,ARIZONA
561,2438,15,32,TEXAS
562,110,7,60,TEXAS
563,1869,1,62,CALIFORNIA
564,1360,1,62,ARIZONA
565,2813,3,73,TEXAS
566,2438,15,66,TEXAS
567,2020,4,66,TEXAS
568,2061,7,66,TEXAS
569,15454,1,0,NEW JERSEY
570,10992,1,0,ARIZONA
571,2701,2,10,ARIZONA
572,15093,1,0,CALIFORNIA
573,1691,11,62,ARIZONA
574,208,8,60,TEXAS
575,387,5,62,ARIZONA
576,2230,5,62,TEXAS
577,271,11,62,CALIFORNIA
578,168,1,62,ARIZONA
579,2073,45,9,TEXAS
580,2806,1,62,CALIFORNIA
581,1972,1,60,TEXAS
582,387,10,62,ARIZONA
583,1691,12,62,ARIZONA
584,1974,10,9,CALIFORNIA
585,6992,1,0,TEXAS
586,2645,10,62,ARIZONA
587,2620,21,62,ARIZONA
588,2620,18,62,ARIZONA
589,387,14,62,ARIZONA
590,389,1,60,ARIZONA
591,387,19,62,ARIZONA
592,1691,1,62,ARIZONA
593,387,13,62,ARIZONA
594,387,4,62,ARIZONA
595,15190,1,0,ARIZONA
596,985,21,62,ARIZONA
597,387,17,62,ARIZONA
598,387,19,62,ARIZONA
599,2620,18,62,ARIZONA
600,2002,1,60,FLORIDA
601,7167,1,0,NEW JERSEY
602,1496,9,62,ARIZONA
603,2871,1,62,ARIZONA
604,1974,1,9,CALIFORNIA
605,2144,31,62,CALIFORNIA
606,11012,1,0,ARIZONA
607,1691,11,64,ARIZONA
608,2972,21,64,TEXAS
609,1691,12,62,ARIZONA
610,387,9,62,ARIZONA
611,2438,12,62,TEXAS
612,1709,41,62,TEXAS
613,4106,1,0,ARIZONA
614,15165,1,0,CALIFORNIA
615,10221,1,0,ARIZONA
616,4104,1,0,ARIZONA
617,6717,1,0,TEXAS
618,5569,1,0,TEXAS
619,16486,1,0,TEXAS
620,6297,1,0,TEXAS
621,382,1,0,TEXAS
622,563,1,0,  
623,10368,1,0,TEXAS
624,4091,1,0,ARIZONA
625,4098,1,0,  
626,11011,1,0,ARIZONA
627,10878,1,0,TEXAS
628,1073,1,0,ARIZONA
629,10769,1,0,ARIZONA
630,4130,5,0,ARIZONA
631,4094,1,0,ARIZONA
632,5831,1,0,TEXAS
633,3592,1,0,ARIZONA
634,1004,1,0,CALIFORNIA
635,2447,1,0,MICHIGAN
636,646,2,62,MICHIGAN
637,1788,1,0,NEW JERSEY
638,67,1,0,MICHIGAN
639,389,3,66,ARIZONA
640,387,11,66,ARIZONA
641,2144,48,66,CALIFORNIA
642,2013,1,66,ARIZONA
643,2438,11,66,TEXAS
644,2620,2,70,ARIZONA
645,1895,1,62,CALIFORNIA
646,2142,6,62,ARIZONA
647,2142,4,62,ARIZONA
648,387,14,62,ARIZONA
649,1811,1,62,TEXAS
650,2620,18,62,ARIZONA
651,168,4,62,ARIZONA
652,2666,1,62,CALIFORNIA
653,2142,2,24,ARIZONA
654,10952,1,0,MICHIGAN
655,2073,45,9,TEXAS
656,16473,1,0,FLORIDA
657,1974,5,9,CALIFORNIA
658,1775,23,9,CALIFORNIA
659,2073,45,9,TEXAS
660,387,8,62,ARIZONA
661,2142,5,62,ARIZONA
662,271,1,60,CALIFORNIA
663,985,1,62,ARIZONA
664,1709,35,23,TEXAS
665,1974,10,9,CALIFORNIA
666,2144,71,62,CALIFORNIA
667,2073,4,62,TEXAS
668,7331,891,26,GEORGIA
669,2020,4,60,TEXAS
670,322,1,62,TEXAS
671,2073,45,9,TEXAS
672,2059,33,62,CALIFORNIA
673,2972,3,62,TEXAS
674,2486,1,62,TEXAS
675,2786,14,62,MICHIGAN
676,387,26,62,ARIZONA
677,387,11,62,ARIZONA
678,2142,72,67,ARIZONA
679,2149,1,75,TEXAS
680,208,2,70,TEXAS
681,2312,16,70,ARIZONA
682,1891,1,23,TEXAS
683,1819,1,60,TEXAS
684,1691,11,62,ARIZONA
685,2142,4,62,ARIZONA
686,646,2,62,MICHIGAN
687,804,4,62,TEXAS
688,1661,1,73,CALIFORNIA
689,925,6,10,CALIFORNIA
690,1819,3,70,TEXAS
691,387,4,62,ARIZONA
692,389,1,60,ARIZONA
693,387,4,62,ARIZONA
694,2142,70,62,ARIZONA
695,2144,33,62,CALIFORNIA
696,2142,5,62,ARIZONA
697,387,1,62,ARIZONA
698,2438,5,62,TEXAS
699,2620,22,62,ARIZONA
700,387,20,62,ARIZONA
701,2144,74,62,CALIFORNIA
702,2037,1,60,ARIZONA
703,2628,1,60,TEXAS
704,1360,1,62,ARIZONA
705,208,1,62,TEXAS
706,655,15,10,TEXAS
707,2438,33,62,TEXAS
708,2073,21,9,TEXAS
710,2214,7,62,ARIZONA
711,2620,18,62,ARIZONA
712,2230,5,62,TEXAS
713,2144,72,62,CALIFORNIA
714,2791,1,0,ARIZONA
715,47,1,9,TEXAS
716,2732,1,0,FLORIDA
717,2438,15,62,TEXAS
718,2759,1,9,CALIFORNIA
719,2144,73,62,CALIFORNIA
720,168,4,62,ARIZONA
721,2438,15,62,TEXAS
722,387,20,62,ARIZONA
723,2438,33,62,TEXAS
724,322,7,62,TEXAS
725,1934,1,62,ARIZONA
726,2914,47,62,CALIFORNIA
727,2645,10,62,ARIZONA
728,2061,7,62,TEXAS
729,387,9,62,ARIZONA
730,2020,67,60,TEXAS
731,387,22,62,ARIZONA
732,2438,6,62,TEXAS
733,2144,31,62,CALIFORNIA
734,7167,1,0,NEW JERSEY
735,985,1,62,ARIZONA
736,1691,11,62,ARIZONA
737,2312,1,60,ARIZONA
738,3912,1,60,MICHIGAN
739,1895,1,62,CALIFORNIA
740,646,2,62,MICHIGAN
741,1819,11,60,TEXAS
742,15202,1,0,TEXAS
743,168,4,62,ARIZONA
744,2438,12,62,TEXAS
745,1811,1,62,TEXAS
746,2486,1,62,TEXAS
747,15037,1,0,MICHIGAN
748,2872,61,62,TEXAS
749,2214,3,62,ARIZONA
750,1693,1,60,TEXAS
751,7331,3,60,FLORIDA
752,387,23,62,ARIZONA
753,1691,11,62,ARIZONA
754,2645,10,62,ARIZONA
755,387,23,62,ARIZONA
756,2142,7,60,ARIZONA
757,2620,22,62,ARIZONA
758,2002,1,60,FLORIDA
759,2209,5,60,TEXAS
760,2144,33,62,CALIFORNIA
761,2620,18,62,ARIZONA
762,2438,6,62,TEXAS
763,2438,5,62,TEXAS
764,2073,4,62,TEXAS
765,1360,1,62,ARIZONA
766,1145,5,62,TEXAS
767,2312,3,62,ARIZONA
768,1891,2,62,TEXAS
769,2486,1,62,TEXAS
770,1775,7,62,CALIFORNIA
771,1869,1,62,CALIFORNIA
772,1811,1,62,TEXAS
773,271,11,62,CALIFORNIA
774,2142,5,62,ARIZONA
775,655,1,60,TEXAS
776,387,5,62,ARIZONA
777,387,7,62,ARIZONA
778,1775,1,60,CALIFORNIA
780,2144,73,62,CALIFORNIA
781,1954,1,62,MICHIGAN
782,2438,52,62,TEXAS
783,271,3,67,CALIFORNIA
784,1691,11,62,ARIZONA
785,3909,1,62,MICHIGAN
786,387,23,62,ARIZONA
787,389,3,62,ARIZONA
788,1496,9,62,ARIZONA
789,2002,1,60,FLORIDA
790,387,7,62,ARIZONA
791,1895,1,62,CALIFORNIA
792,2230,1,62,TEXAS
793,2144,74,62,CALIFORNIA
794,2142,15,62,ARIZONA
796,2059,6,62,CALIFORNIA
797,271,22,62,CALIFORNIA
798,387,24,62,ARIZONA
799,11845,1,0,ARIZONA
800,1891,2,62,TEXAS
801,2144,73,62,CALIFORNIA
802,387,11,62,ARIZONA
803,2620,22,62,ARIZONA
804,2312,15,60,ARIZONA
805,387,5,62,ARIZONA
806,2142,6,62,ARIZONA
807,12001,1,0,ARIZONA
808,2205,1,0,TEXAS
809,1895,1,62,CALIFORNIA
810,2806,1,62,CALIFORNIA
811,387,26,62,ARIZONA
812,1934,1,62,ARIZONA
813,2014,12,60,TEXAS
814,2020,24,60,TEXAS
815,2438,33,62,TEXAS
816,387,17,62,ARIZONA
817,2438,33,62,TEXAS
818,2620,21,62,ARIZONA
819,2637,1,9,TEXAS
820,2438,12,62,TEXAS
821,387,13,62,ARIZONA
822,440,1,9,TEXAS
823,2620,22,62,ARIZONA
824,2438,12,62,TEXAS
825,185,42,9,CALIFORNIA
826,985,14,62,ARIZONA
827,11048,1,0,ARIZONA
828,271,22,62,CALIFORNIA
829,2182,2,60,TEXAS
830,2620,18,62,ARIZONA
831,387,2,62,ARIZONA
832,11048,1,0,ARIZONA
833,2214,3,62,ARIZONA
834,2806,17,62,CALIFORNIA
835,2144,48,62,CALIFORNIA
836,2073,45,9,TEXAS
837,1691,11,62,ARIZONA
838,271,22,62,CALIFORNIA
839,2073,45,9,TEXAS
840,3909,1,62,MICHIGAN
841,2786,14,62,MICHIGAN
842,2194,1,0,ARIZONA
843,2014,12,60,TEXAS
844,1891,2,62,TEXAS
845,2142,4,62,ARIZONA
846,271,22,62,CALIFORNIA
847,643,1,62,CALIFORNIA
848,2914,47,62,CALIFORNIA
849,2144,48,62,CALIFORNIA
850,387,20,62,ARIZONA
851,387,22,62,ARIZONA
852,2142,70,62,ARIZONA
853,1496,9,62,ARIZONA
854,274,1,9,TEXAS
855,1819,3,70,TEXAS
856,75522,1,0,TEXAS
857,75379,507,0,ARIZONA
858,5248,1,0,TEXAS
859,2142,2,24,ARIZONA
860,655,15,10,TEXAS
861,1890,1,10,TEXAS
862,1691,11,70,ARIZONA
863,1954,1,70,MICHIGAN
864,2113,2,81,TEXAS
865,1934,60,70,ARIZONA
866,2020,3,60,TEXAS
867,2059,6,62,CALIFORNIA
868,2144,31,62,CALIFORNIA
869,387,5,62,ARIZONA
870,2144,72,62,CALIFORNIA
871,2059,33,62,CALIFORNIA
872,1046,1,9,CALIFORNIA
873,2073,45,9,TEXAS
874,1693,1,60,TEXAS
875,15190,1,0,ARIZONA
876,387,26,30,ARIZONA
877,185,1,9,CALIFORNIA
878,2312,3,62,ARIZONA
879,2806,1,62,CALIFORNIA
880,3911,2,60,MICHIGAN
881,2438,15,32,TEXAS
882,947,1,9,CALIFORNIA
883,387,8,62,ARIZONA
884,387,3,62,ARIZONA
885,2182,2,60,TEXAS
886,10154,1,0,ARIZONA
887,2674,21,60,CALIFORNIA
888,1297,2,62,CALIFORNIA
889,2914,47,62,CALIFORNIA
